region,births,year
North and West Metro,31344,2017
North and West Metro,30293,2018
North and West Metro,29934,2019
North and West Metro,28204,2020
North and West Metro,28606,2021
Gippsland,367,2017
Gippsland,353,2018
Gippsland,297,2019
Gippsland,295,2020
Gippsland,370,2021
Southern Metro,20692,2017
Southern Metro,19410,2018
Southern Metro,19300,2019
Southern Metro,18237,2020
Southern Metro,18686,2021
Grampians,537,2017
Grampians,556,2018
Grampians,521,2019
Grampians,517,2020
Grampians,616,2021
Eastern Metro,11780,2017
Eastern Metro,10872,2018
Eastern Metro,10767,2019
Eastern Metro,9914,2020
Eastern Metro,9985,2021
Loddon Mallee,525,2017
Loddon Mallee,519,2018
Loddon Mallee,511,2019
Loddon Mallee,467,2020
Loddon Mallee,480,2021
Hume,704,2017
Hume,710,2018
Hume,720,2019
Hume,754,2020
Hume,816,2021
Barwon South West,3398,2017
Barwon South West,3369,2018
Barwon South West,3310,2019
Barwon South West,3407,2020
Barwon South West,3630,2021